filename,L,A,B,cluster
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00000.jpg,124.8785023594028,148.6611433433898,142.33259070163226,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00001.jpg,109.14875143030221,140.52466850642796,135.33964909919007,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00002.jpg,145.0369139335241,139.57173673783842,130.1233546114902,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00003.jpg,128.1302344021012,151.2687447346251,142.96834580504486,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00004.jpg,119.09642867170172,148.1175421849117,131.3132773675492,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00005.jpg,140.59954290783904,138.35759264795226,122.63368017049345,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00006.jpg,109.72637213120284,136.33267364586027,130.2790140670857,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00007.jpg,123.33645876935957,150.06007295341746,137.55759134126652,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00008.jpg,118.69391377394791,137.49138281440534,131.55070048505542,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00009.jpg,123.07579885260088,147.86356206531843,130.3064538529748,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00010.jpg,114.75514500763198,149.1191115321859,135.23967050897414,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00011.jpg,113.63432117862331,150.1486861217483,139.85433211974873,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00012.jpg,119.68660817958973,145.91401109534254,134.0135724422655,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00013.jpg,122.9711817063765,151.49120338523753,137.4852208533967,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00014.jpg,138.00602366567762,148.0610946269617,145.77285239337934,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00015.jpg,119.52415709793023,150.7846705185402,143.24240473926716,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00016.jpg,123.73930654411264,146.687818272105,128.14845720183442,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00017.jpg,83.79558148739976,145.58060780203186,136.8149912773225,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00018.jpg,112.29416071117309,150.74526756144326,140.64352449015163,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00019.jpg,131.7846000731202,153.05307307957915,136.6081569646992,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00020.jpg,119.73126945443138,151.33887508143715,135.99968631614507,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00021.jpg,123.53383661947458,142.91246931072152,127.3890156718113,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00022.jpg,123.6414082977166,147.750974048974,137.8945665777232,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00023.jpg,111.96140316399725,136.8402672693328,134.46286724968064,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00024.jpg,143.74051748122045,150.38155738971838,130.06572073325296,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00025.jpg,143.26674957844702,139.71649512066716,132.7036158183469,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00026.jpg,135.6353140867122,149.47140076966974,135.92013578964313,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00027.jpg,110.46482521035479,147.54508841716546,137.47605239352146,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00028.jpg,113.07632113317815,153.623396562825,126.99263698347448,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00029.jpg,123.55428273087436,151.36506864039802,136.28377506833328,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00030.jpg,134.57260267169886,151.41756468192878,135.35059840095346,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00031.jpg,134.40345796412362,149.14540739139832,132.76384266263238,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00032.jpg,111.8592170359217,149.84663368466337,135.8296138954614,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00033.jpg,113.13284556866282,144.01438566379147,133.63840928595326,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00034.jpg,139.57677693223584,149.6237511000673,127.14979551690222,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00035.jpg,129.2448636593801,141.9108264471714,128.9848414656482,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00036.jpg,152.0013507713283,143.3399020375186,137.638775973944,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00037.jpg,129.28483045639908,142.66249092229484,136.48762638958718,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00038.jpg,90.2888448514699,146.53728643989533,134.63058911805447,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00039.jpg,96.94201046248959,140.37301351404906,127.1636646455039,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00040.jpg,110.46741292835327,141.7757852559612,131.3179831320575,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00041.jpg,92.65030457452373,141.74803840507568,131.0152877849586,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00042.jpg,119.540804336796,145.74549363099848,137.7684861270596,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00043.jpg,117.37222276406905,141.50434019311422,133.4492928898859,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00044.jpg,93.45999731615673,145.2872249060655,137.17058507783145,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00045.jpg,110.70473989711425,146.90727902946273,136.14029875381695,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00046.jpg,114.9174882126018,150.14691384483498,135.6577100300043,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00047.jpg,142.4569867107022,143.58501743073577,138.66067730858956,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00048.jpg,91.64461171575218,136.6371433898937,123.8302108992414,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00049.jpg,116.76370592361155,142.82011094816042,136.8859656953389,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00050.jpg,125.22755843436389,143.43719770737007,133.22390428909296,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00051.jpg,124.08197163835301,142.50036891736252,134.11716275554275,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00052.jpg,121.36338733378082,148.63126099813144,142.91555249170037,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00053.jpg,106.33270218507879,147.8885914512057,134.6458823017324,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00054.jpg,124.51860475332776,146.03910951983482,135.27450248209814,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00055.jpg,98.57787277865593,137.72084111701872,134.06509555970686,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00056.jpg,122.50101858139391,151.98755067185218,141.2551700722267,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00057.jpg,116.30156599552572,154.40897340293313,136.15590355456126,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00058.jpg,117.88571946732992,141.6007824239598,134.5338489040883,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00059.jpg,127.77002262887339,148.59057435481552,138.0018312383095,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00060.jpg,142.6219947212669,150.68826681596417,133.7598976245701,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00061.jpg,113.53241954562638,133.69424289355268,133.52976110630098,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00062.jpg,98.52271483305967,144.16318494192058,129.74096880131364,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00063.jpg,123.71276150210399,149.8611371477574,133.14173463893266,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00064.jpg,107.54347136681521,142.8954650910487,133.46978118271494,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00065.jpg,130.17604128865773,150.22547477924277,132.4048223861941,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00066.jpg,115.14460941119371,147.6478303073088,134.8981667365263,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00067.jpg,134.8796478280053,149.74752316393244,134.6058120412338,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00068.jpg,128.89920338156398,141.6866889171536,132.4119368443199,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00069.jpg,97.20019947506562,144.02622572178478,137.2879160104987,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00070.jpg,136.3942940358774,142.8297345601377,137.3633414973191,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00071.jpg,87.7703624187272,145.78052380545762,136.22957658855532,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00072.jpg,108.93731850991455,143.95132608755773,131.49611438369425,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00073.jpg,123.93474940559605,146.7651986332646,139.1498685225716,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00074.jpg,112.37330923924712,151.06183353610535,143.5016639232806,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00075.jpg,97.09228955623489,141.75452056984156,139.541449379608,0
